,Accuracy,Embed,Label
0,0.844155844,LDVAE,CellType1
1,0.867532468,LDVAE,CellType1
2,0.862337662,LDVAE,CellType1
3,0.869264069,SCANVI,CellType1
4,0.867532468,SCANVI,CellType1
5,0.858008658,SCANVI,CellType1
6,0.889177489,Recon MCML,CellType1
7,0.886580087,Recon MCML,CellType1
8,0.886580087,Recon MCML,CellType1
9,0.696103896,NCA 100% MCML,CellType1
10,0.883116883,NCA-Recon MCML,CellType1
11,0.893506494,NCA-Recon MCML,CellType1
12,0.89004329,NCA-Recon MCML,CellType1
13,0.884848485,LDVAE,Gender2
14,0.891774892,LDVAE,Gender2
15,0.895238095,LDVAE,Gender2
16,0.893506494,SCANVI,Gender2
17,0.892640693,SCANVI,Gender2
18,0.894372294,SCANVI,Gender2
19,0.890909091,Recon MCML,Gender2
20,0.916017316,Recon MCML,Gender2
21,0.906493506,Recon MCML,Gender2
22,0.903030303,NCA 100% MCML,Gender2
23,0.895238095,NCA-Recon MCML,Gender2
24,0.90995671,NCA-Recon MCML,Gender2
25,0.895238095,NCA-Recon MCML,Gender2
26,0.696103896,NCA 100% MCML,CellType2
27,0.880519481,NCA-Recon MCML,CellType2
28,0.891774892,NCA-Recon MCML,CellType2
29,0.87012987,NCA-Recon MCML,CellType2
30,0.874458874,PCA 50D,CellType1
31,0.896103896,PCA 50D,CellType1
32,0.885714286,PCA 50D,CellType1
33,0.896969697,PCA 50D,Gender2
34,0.905627706,PCA 50D,Gender2
35,0.906493506,PCA 50D,Gender2
36,0.883982684,PCA UMAP Sup.,CellType1
37,0.892640693,PCA UMAP Sup.,CellType1
38,0.882251082,PCA UMAP Sup.,CellType1
39,0.855411255,PCA UMAP,CellType1
40,0.849350649,PCA UMAP,CellType1
41,0.864069264,PCA UMAP,CellType1
42,0.847619048,PCA t-SNE,CellType1
43,0.855411255,PCA t-SNE,CellType1
44,0.835497835,PCA t-SNE,CellType1
